Station ID,Station Name,Address,Total Docks,Docks in Service,Status,Longitude,Latitude
315,Orleans St & Chestnut St (NEXT Apts),Orleans St & Chestnut St (NEXT Apts),15,13,in service,-87.637536,41.898203
17,Orleans St & Elm St (*),350 W. Elm st,16,16,in service,-87.637715,41.902924
325,Orleans St & Hubbard St (*),Orleans St & Hubbard St (*),12,11,in service,-87.636618,41.890028
82,Orleans St & Merchandise Mart Plaza,333 N Orleans St,35,33,in service,-87.63639,41.888243
10,Paulina Ave & North Ave,1575 N Paulina Ave,15,13,in service,-87.670072,41.910337
157,Paulina St & 18th St,Paulina St & 18th St,15,13,in service,-87.668745,41.857901
106,Peoria St & Jackson Blvd,Peoria St & Jackson Blvd,19,18,in service,-87.649633,41.877749
256,Prairie Ave & 43rd St,Prairie Ave & 43rd St,15,15,in service,-87.61941246,41.81665889
258,Princeton Ave & 47th St,Princeton Ave & 47th St,11,11,in service,-87.63344929,41.80931771
293,Pulaski Rd & Congress Pkwy,Pulaski Rd & Congress Pkwy,11,11,in service,-87.725704,41.874325
286,Pulaski Rd & Lake St,Pulaski Rd & Lake St,11,10,in service,-87.726491,41.885409
108,Racine Ave & 13th St,Racine Ave & 13th St,15,14,in service,-87.656959,41.865054
192,Racine Ave & 15th St,Racine Ave & 15th St,15,14,in service,-87.656625,41.861267
9,Racine Ave & 18th St,1726 S Racine Ave,15,12,in service,-87.656495,41.858166
233,Racine Ave & 35th St,Racine Ave & 35th St,15,15,in service,-87.65597591,41.83069611
26,Racine Ave & Congress Pkwy,550 S. Racine,19,15,in service,-87.65703,41.87464
71,Racine Ave & Randolph St,1213 W Randolph St,19,19,in service,-87.656853,41.884069
169,Racine Ave (May St) & Fulton St,Racine Ave (May St) & Fulton St,14,11,in service,-87.656919,41.886926
184,Rhodes Ave & 32nd St,Rhodes Ave & 32nd St,11,11,in service,-87.613533,41.836208
137,Ritchie Ct & Banks St,Ritchie Ct & Banks St,15,14,in service,-87.626217,41.906866
130,Rush St & Cedar St,Rush St & Cedar St,11,9,in service,-87.62769053,41.9023087
99,Rush St & Hubbard St,Rush St & Hubbard St,23,19,in service,-87.626185,41.890173
123,Rush St & Superior St,Rush St & Superior St,23,23,in service,-87.62590803,41.89576475
239,Sacramento Blvd & Franklin Blvd,Sacramento Blvd & Franklin Blvd,11,10,in service,-87.70103,41.889727
175,Sangamon St & Washington Blvd (*),Sangamon St & Washington Blvd (*),16,16,in service,-87.6511,41.883165
89,Sedgwick St & Huron St,Sedgwick St & Huron St,27,26,in service,-87.638437,41.894666
93,Sedgwick St & North Ave,Sedgwick St & North Ave,19,19,in service,-87.638677,41.911386
176,Sedgwick St & Schiller St,Sedgwick St & Schiller St,15,14,in service,-87.638566,41.907626
2,Shedd Aquarium,Shedd Aquarium,55,54,in service,-87.61535539,41.86722596
14,Sheffield Ave & Kingsbury St,Sheffield Ave & Kingsbury St,15,12,in service,-87.653106,41.910522
76,Sheffield Ave & Willow St,1740 N Sheffield Ave,15,13,in service,-87.652855,41.913688
248,Shields Ave & 28th Pl,Shields Ave & 28th Pl,11,10,in service,-87.635491,41.842733
249,Shields Ave & 31st St,Shields Ave & 31st St,15,15,in service,-87.635406,41.838464
255,Shields Ave & 43rd St,Shields Ave & 43rd St,11,11,in service,-87.63481935,41.81620768
329,Smith Park (*),Smith Park (*),12,12,in service,-87.689397,41.892048
278,Spaulding Ave & Armitage Ave,Spaulding Ave & Armitage Ave,15,14,in service,-87.71035665,41.91718375
282,Spaulding Ave & Division St,Spaulding Ave & Division St,15,15,in service,-87.70921957,41.90270659
163,St. Clair St & Erie St,St. Clair St & Erie St,19,19,in service,-87.622663,41.894448
135,State St & 19th St,State St & 19th St,15,14,in service,-87.627542,41.856594
146,State St & 29th St,State St & 29th St,15,15,in service,-87.626938,41.841707
117,State St & 33rd St,State St & 33rd St,15,12,in service,-87.625813,41.834734
141,State St & 35th St,State St & 35th St,19,18,in service,-87.62688,41.83104
4,State St & Harrison St,620 S. State St.,23,23,in service,-87.627716,41.874053
40,State St & Kinzie St,5 E Kinzie St,31,30,in service,-87.627754,41.889187
84,State St & Pearson St,State St & Pearson St,27,27,in service,-87.628722,41.897448
253,State St & Pershing Rd,State St & Pershing Rd,11,11,in service,-87.62656802,41.82301524
37,State St & Randolph St,State St & Randolph St,27,26,in service,-87.62773357,41.8847302
27,State St & Van Buren St,360 S State St,27,27,in service,-87.627844,41.877181
142,Stave St & Armitage Ave,Stave St & Armitage Ave,11,11,in service,-87.691392,41.917741
185,Stetson Ave & South Water St,Stetson Ave & South Water St,19,17,in service,-87.62232,41.886835
28,Streeter Dr & Grand Ave,Navy Pier,47,44,in service,-87.612043,41.892278
281,Troy St & North Ave,Troy St & North Ave,15,15,in service,-87.70528049,41.9097693
254,Union Ave & Root St,Union Ave & Root St,11,11,in service,-87.643278,41.819102
60,Wabash Ave & 16th St,1590 S Wabash Ave,39,39,in service,-87.625813,41.860384
215,Wabash Ave & 9th St,Wabash Ave & 9th St,19,17,in service,-87.625734,41.870769
32,Wabash Ave & Adams St,Wabash Ave & Adams St,23,19,in service,-87.62568861,41.87947235
35,Wabash Ave & Cermak Rd,13 E Cermak Rd,11,11,in service,-87.626488,41.852619
152,Wabash Ave & Grand Ave,Wabash Ave & Grand Ave,31,30,in service,-87.626761,41.891466
52,Wabash Ave & Roosevelt Rd,1210 S Wabash Ave,23,23,in service,-87.625961,41.867227
147,Wabash Ave & Wacker Pl,Wabash Ave & Wacker Pl,19,18,in service,-87.62603,41.886875
12,Wacker Dr & Washington St,Wacker Dr & Washington St,19,16,in service,-87.637321,41.883132
196,Wallace St & 35th St,On Street,15,15,in service,-87.64129,41.830629
322,Walsh Park,Off-Street,23,23,in service,-87.667968,41.91461
268,Washtenaw Ave & Ogden Ave (*),Washtenaw Ave & Ogden Ave (*),16,14,in service,-87.693511,41.861894
170,Wells St & 19th St,Wells St & 19th St,11,10,in service,-87.633879,41.856802
207,Wells St & Concord Ln,Wells St & Concord Ln,19,19,in service,-87.634656,41.912133
139,Wells St & Elm St,Wells St & Elm St,23,22,in service,-87.634324,41.903222
208,Wells St & Evergreen Ave,Wells St & Evergreen Ave,19,18,in service,-87.63483,41.906724
164,Wells St & Hubbard St,Wells St & Hubbard St,31,30,in service,-87.634266,41.889906
46,Wells St & Huron St,Wells St & Huron St,27,27,in service,-87.634362,41.894722
133,Wells St & Polk St,Wells St & Polk St,19,19,in service,-87.633502,41.872596
39,Wells St & Walton St,932 N Wells St,19,18,in service,-87.63443007,41.89993001
104,Wentworth Ave & 24th St,Wentworth Ave & 24th St,15,15,in service,-87.631715,41.849237
250,Wentworth Ave & 33rd St,Wentworth Ave & 33rd St,15,14,in service,-87.63182298,41.83452989
251,Wentworth Ave & 35th St,Wentworth Ave & 35th St,15,15,in service,-87.632504,41.830777
95,Wentworth Ave & Cermak Rd (Temp),Wentworth Ave & Cermak Rd (Temp),19,18,in service,-87.630578,41.853005
156,Western Ave & 21st St,Western Ave & 21st St,15,15,in service,-87.685838,41.854109
199,Western Ave & 24th St,Western Ave & 24th St,10,10,in service,-87.685109,41.84847
277,Western Ave & 28th St,Western Ave & 28th St,11,11,in service,-87.68513144,41.84151771
244,Western Ave & Congress Pkwy,Western Ave & Congress Pkwy,19,18,in service,-87.68644528,41.87474885
210,Western Ave & Division St,Western Ave & Division St,23,22,in service,-87.687275,41.902893
243,Western Ave & Monroe St,Western Ave & Monroe St,15,15,in service,-87.68611281,41.87978771
238,Western Ave & Walton St,Western Ave & Walton St,23,22,in service,-87.68659602,41.89841769
92,Western Ave & Winnebago Ave,Western Ave & Winnebago Ave,15,15,in service,-87.687022,41.91552
314,Western Blvd & 48th Pl,Western Blvd & 48th Pl,11,11,in service,-87.683392,41.805661
224,Wolcott Ave & Polk St,Wolcott Ave & Polk St,23,22,in service,-87.673688,41.871262
235,Wood St & 35th St,NA1,11,10,in service,-87.67029831,41.83010465
330,Wood St & Augusta Blvd,Wood St & Augusta Blvd,11,10,in service,-87.6722,41.899181
326,Wood St & Chicago Ave (*),Wood St & Chicago Ave (*),12,11,in service,-87.672069,41.895634
203,Wood St & Hubbard St,Off Street,19,19,in service,-87.671956,41.889587
54,Wood St & Milwaukee Ave,1416 N Wood St,19,18,in service,-87.672552,41.907655
213,Wood St & Taylor St,Wood St & Taylor St,23,22,in service,-87.671045,41.869154
259,Woodlawn Ave & Lake Park Ave,Woodlawn Ave & Lake Park Ave,15,15,in service,-87.59700515,41.81409271
